"","logrev","stars","score","rest_id","time"
"1",1.63390004634857,1,1.15489995479584,1,1
"2",1.43879997730255,1,1.01049995422363,2,1
"3",6.20120000839233,3.5,3.62089991569519,3,1
"4",-0.347469985485077,2,1.82829999923706,4,1
"5",-0.229750007390976,0,0,5,1
"6",7.13520002365112,1.5,1.37390005588531,6,1
"7",7.88789987564087,3.5,3.3264000415802,7,1
"8",4.14489984512329,3.5,3.6408998966217,8,1
"9",4.3137001991272,1.5,1.44869995117188,9,1
"10",2.0074999332428,2,1.94809997081757,10,1
"11",4.76599979400635,2.5,2.67919993400574,11,1
"12",8.13319969177246,5,5,12,1
"13",11.1700000762939,5,5,13,1
"14",3.66449999809265,2,2.09579992294312,14,1
"15",6.69969987869263,2.5,2.71589994430542,15,1
"16",7.3011999130249,2.5,2.51690006256104,16,1
"17",6.13229990005493,2.5,2.52530002593994,17,1
"18",6.98880004882812,4.5,4.49440002441406,18,1
"19",1.52550005912781,1.5,1.25310003757477,19,1
"20",9.1584997177124,3.5,3.27850008010864,20,1
"21",4.54570007324219,3,3.09549999237061,21,1
"22",8.13290023803711,4.5,4.26569986343384,22,1
"23",5.38899993896484,2,2.14120006561279,23,1
"24",6.13450002670288,3,3.07750010490417,24,1
"25",9.29450035095215,5,4.84989976882935,25,1
"26",7.92500019073486,4.5,4.26090002059937,26,1
"27",6.37659978866577,2,2.07949995994568,27,1
"28",2.56590008735657,3,2.78060007095337,28,1
"29",9.00679969787598,5,4.86250019073486,29,1
"30",2.80419993400574,2,1.9345999956131,30,1
"31",6.00979995727539,5,5,31,1
"32",0.960929989814758,2,2.18039989471436,32,1
"33",5.88870000839233,3,3.01539993286133,33,1
"34",8.89019966125488,4.5,4.59700012207031,34,1
"35",2.89269995689392,0.5,0.366070002317429,35,1
"36",5.33809995651245,1.5,1.2632999420166,36,1
"37",0.774519979953766,0,0,37,1
"38",-2.49079990386963,0.5,0.478549987077713,38,1
"39",2.08500003814697,2,2.13359999656677,39,1
"40",9.40439987182617,3.5,3.74640011787415,40,1
"41",5.67189979553223,2,2.24149990081787,41,1
